Desligamento;Ex-trainee;Data de nascimento;Sexo;Data de admissão;Cargo;Área;Salário mensal médio;Posição crítica;Gestor;Avaliação de desempenho;Distância residência trabalho (Km);Tempo deslocamento (min);Turnover mercado;
0;0;16/10/1963;M;1/27/03;1;Operacional ;R$ 5.080,00;0;1;BOM;25;17;0,03;
0;0;27/04/1963;M;10/05/1992;2;Administrativo;R$ 12.498,33;0;2;BOM;29;20;0,17;
0;0;29/01/1960;M;01/03/1989;3;Administrativo;R$ 9.966,67;0;3;BOM;10;6;0,23;
0;0;14/07/1941;M;06/05/1991;4;Operacional ;R$ 3.795,00;0;4;OTIMO;25;17;0,11;
1;0;28/12/1972;M;09/01/1994;5;Coordenação;R$ 21.628,33;1;5;OTIMO;14;9;0,02;
0;0;29/05/1960;M;08/04/1981;6;Operacional ;R$ 1.551,67;0;4;BOM;13;9;0,16;
0;0;22/01/1969;M;10/01/1992;7;Operacional ;R$ 3.211,67;0;6;OTIMO;10;6;0,04;
0;0;17/01/1955;M;07/03/2000;8;Coordenação;R$ 27.451,67;1;5;BOM;19;13;0,13;
0;0;27/01/1964;M;9/13/00;9;Operacional ;R$ 2.876,67;0;7;BOM;24;16;0,09;
0;0;24/02/1956;M;01/11/1993;10;Coordenação;R$ 23.696,67;1;8;BOM;2;1;0,12;
0;0;14/03/1972;M;3/13/87;11;Operacional ;R$ 3.071,67;0;9;OTIMO;3;2;0,26;
0;0;17/04/1966;M;6/24/87;12;Administrativo;R$ 5.405,00;0;10;OTIMO;20;13;0,25;
0;0;25/05/1974;M;07/06/1989;11;Operacional ;R$ 2.690,00;0;9;BOM;5;3;0,26;
0;0;21/03/1969;M;01/12/1989;13;Operacional ;R$ 4.786,67;0;11;EXCELENTE;18;12;0,1;
0;0;24/06/1978;M;12/10/1992;14;Operacional ;R$ 5.528,33;0;12;BOM;8;5;0,23;
0;0;27/01/1974;M;4/18/96;15;Coordenação;R$ 15.341,67;1;13;OTIMO;2;1;0,22;
0;0;22/05/1961;M;1/21/97;16;Operacional ;R$ 9.876,67;0;14;BOM;0;0;0,18;
0;0;23/04/1965;M;4/19/99;17;Gerência;R$ 36.896,67;1;15;BOM;5;3;0,05;
0;0;15/03/1966;M;10/02/2000;18;Gerência;R$ 42.295,00;1;16;BOM;30;20;0,25;
0;0;14/07/1969;M;04/02/2001;19;Administrativo;R$ 6.536,67;0;17;BOM;12;8;0,17;
0;0;20/10/1969;M;04/01/2001;20;Operacional ;R$ 3.758,33;0;18;OTIMO;28;19;0,23;
0;0;13/09/1969;M;12/17/98;21;Operacional ;R$ 4.316,67;0;19;BOM;1;0;0,13;
0;0;14/04/1969;M;01/07/1999;22;Administrativo;R$ 5.953,33;0;20;BOM;16;11;0,16;
0;0;19/05/1971;M;03/10/1980;23;Administrativo;R$ 5.050,00;0;21;BOM;23;15;0,19;
0;0;30/07/1965;M;10/06/1980;24;Coordenação;R$ 13.493,33;1;22;OTIMO;18;12;0,04;
0;0;22/02/1970;M;08/09/1982;25;Operacional ;R$ 4.780,00;0;23;BOM;14;9;0,05;
0;0;25/06/1965;M;07/09/1984;26;Administrativo;R$ 7.188,33;0;24;BOM;10;6;0,13;
0;0;28/05/1962;M;10/04/1984;27;Operacional ;R$ 5.298,33;0;25;INSATISFATORIO;1;0;0,08;
0;0;24/03/1973;M;1/28/85;28;Operacional ;R$ 5.298,33;0;26;BOM;31;21;0,06;
0;0;26/04/1972;M;07/05/1985;29;Operacional ;R$ 6.945,00;0;27;BOM;1;0;0,13;
0;0;30/08/1971;M;01/06/1987;27;Operacional ;R$ 5.220,00;0;28;EXCELENTE;17;11;0,08;
0;0;14/04/1972;M;07/03/1989;30;Operacional ;R$ 4.031,67;0;29;BOM;22;15;0,16;
0;0;14/09/1964;M;07/03/1989;31;Operacional ;R$ 6.028,33;0;30;INSATISFATORIO;13;9;0,09;
0;0;22/01/1973;M;07/03/1989;29;Operacional ;R$ 6.943,33;0;31;BOM;30;20;0,13;
0;0;21/01/1975;M;07/03/1989;32;Operacional ;R$ 4.560,00;0;28;BOM;9;6;0,06;
0;0;30/01/1968;M;07/07/1989;33;Operacional ;R$ 6.055,00;0;28;BOM;0;0;0,14;
0;0;14/05/1968;M;07/07/1989;34;Operacional ;R$ 6.945,00;0;32;BOM;23;15;0,25;
0;0;19/01/1968;M;07/07/1989;35;Administrativo;R$ 7.873,33;0;33;BOM;14;9;0,15;
0;0;24/01/1970;M;7/24/89;36;Operacional ;R$ 3.946,67;0;34;OTIMO;15;10;0,25;
0;0;14/05/1979;M;08/09/1989;30;Operacional ;R$ 4.026,67;0;35;INSATISFATORIO;2;1;0,16;
0;0;25/09/1966;M;10/10/1989;33;Operacional ;R$ 6.945,00;0;28;BOM;11;7;0,14;
0;0;30/09/1966;M;11/05/1990;37;Operacional ;R$ 4.033,33;0;36;BOM;17;11;0,13;
0;0;29/04/1977;M;12/06/1990;38;Operacional ;R$ 4.920,00;0;37;BOM;18;12;0,1;
0;0;19/05/1960;M;6/25/91;37;Operacional ;R$ 3.946,67;0;36;BOM;31;21;0,13;
0;0;30/10/1966;M;6/25/91;39;Operacional ;R$ 5.298,33;0;37;BOM;18;12;0,11;
0;0;20/03/1963;M;07/01/1991;40;Operacional ;R$ 4.536,67;0;29;INSATISFATORIO;21;14;0,18;
0;0;23/07/1962;M;7/29/92;41;Operacional ;R$ 6.486,67;0;38;BOM;6;4;0,15;
0;0;19/08/1965;M;12/07/1992;39;Operacional ;R$ 5.295,00;0;37;OTIMO;21;14;0,11;
0;0;20/11/1968;M;12/08/1992;42;Operacional ;R$ 6.008,33;0;39;BOM;7;4;0,02;
0;0;21/07/1975;M;1/26/93;39;Operacional ;R$ 5.265,00;0;37;BOM;18;12;0,11;
0;0;18/03/1971;M;1/28/93;43;Operacional ;R$ 3.946,67;0;40;BOM;11;7;0,16;
0;0;20/10/1967;M;2/24/93;29;Operacional ;R$ 6.945,00;0;32;OTIMO;2;1;0,13;
0;0;26/08/1964;M;3/15/93;44;Operacional ;R$ 5.298,33;0;41;BOM;23;15;0,15;
0;0;20/08/1976;M;6/15/93;45;Operacional ;R$ 5.298,33;0;36;BOM;32;22;0,19;
0;0;23/05/1979;M;08/11/1994;46;Operacional ;R$ 5.125,00;0;42;BOM;32;22;0,18;
0;0;28/03/1964;M;9/19/94;24;Coordenação;R$ 12.500,00;1;22;OTIMO;21;14;0,04;
0;0;15/08/1968;M;11/21/94;47;Operacional ;R$ 4.033,33;0;36;OTIMO;12;8;0,08;
0;0;18/05/1973;M;12/12/1994;44;Operacional ;R$ 4.780,00;0;41;OTIMO;10;6;0,15;
0;0;22/01/1967;M;1/30/95;29;Operacional ;R$ 6.945,00;0;32;INSATISFATORIO;4;2;0,13;
0;0;22/02/1974;M;02/06/1995;32;Operacional ;R$ 3.946,67;0;40;BOM;27;18;0,06;
0;0;27/07/1971;M;08/05/1996;40;Operacional ;R$ 4.536,67;0;29;EXCELENTE;30;20;0,18;
0;0;25/09/1971;M;8/19/96;48;Operacional ;R$ 4.035,00;0;43;OTIMO;13;9;0,26;
0;0;19/08/1977;M;1/13/97;49;Operacional ;R$ 4.033,33;0;23;OTIMO;5;3;0,08;
0;0;15/06/1969;M;2/24/97;48;Operacional ;R$ 3.965,00;0;43;OTIMO;11;7;0,26;
0;0;25/07/1971;M;5/19/97;44;Operacional ;R$ 5.816,67;0;41;BOM;30;20;0,15;
0;0;28/04/1975;M;6/30/97;40;Operacional ;R$ 4.536,67;0;39;OTIMO;4;2;0,18;
0;0;23/12/1972;M;11/01/1996;50;Operacional ;R$ 7.206,67;0;44;BOM;12;8;0,15;
0;0;28/02/1969;M;07/10/2000;51;Operacional ;R$ 5.973,33;0;45;OTIMO;0;0;0,19;
0;0;20/05/1974;M;08/07/2000;51;Operacional ;R$ 6.451,67;0;46;OTIMO;23;15;0,19;
0;0;29/04/1964;M;5/21/01;52;Operacional ;R$ 3.606,67;0;47;OTIMO;32;22;0,24;
0;0;16/08/1973;M;4/21/87;53;Administrativo;R$ 15.171,67;0;48;BOM;12;8;0,25;
0;0;26/05/1981;M;09/01/1992;54;Operacional ;R$ 6.451,67;0;47;BOM;31;21;0,23;
0;0;19/11/1976;M;6/13/94;55;Operacional ;R$ 5.358,33;0;49;OTIMO;19;13;0,1;
0;0;23/10/1968;M;5/20/96;56;Operacional ;R$ 5.268,33;0;46;BOM;26;18;0,21;
0;0;18/08/1978;M;8/20/84;57;Operacional ;R$ 4.496,67;0;50;OTIMO;2;1;0,07;
0;0;18/12/1975;M;09/12/1984;58;Operacional ;R$ 10.443,33;0;51;BOM;28;19;0,19;
0;0;13/04/1978;M;6/20/86;59;Coordenação;R$ 17.055,00;1;52;OTIMO;23;15;0,13;
0;0;24/03/1983;M;5/16/88;60;Operacional ;R$ 5.828,33;0;53;BOM;9;6;0,02;
0;0;20/05/1975;M;05/05/1989;61;Operacional ;R$ 6.428,33;0;54;OTIMO;22;15;0,09;
0;0;17/03/1975;M;04/07/1992;29;Operacional ;R$ 7.318,33;0;55;OTIMO;10;6;0,13;
0;0;28/04/1969;M;02/01/1993;62;Operacional ;R$ 7.066,67;0;56;OTIMO;0;0;0,08;
0;0;28/08/1980;M;11/30/93;63;Operacional ;R$ 5.828,33;0;56;OTIMO;20;13;0,14;
0;0;27/06/1964;M;12/21/93;29;Operacional ;R$ 6.620,00;0;50;BOM;19;13;0,13;
0;0;21/03/1966;M;07/04/1995;63;Operacional ;R$ 6.118,33;0;57;BOM;1;0;0,14;
0;0;19/01/1966;M;05/06/1996;62;Operacional ;R$ 7.066,67;0;56;BOM;25;17;0,08;
0;0;15/07/1979;M;05/06/1996;58;Operacional ;R$ 8.181,67;0;58;INSATISFATORIO;24;16;0,19;
0;0;13/01/1966;M;07/07/1997;58;Operacional ;R$ 8.996,67;0;59;INSATISFATORIO;20;13;0,19;
0;0;22/06/1966;M;06/07/1999;64;Operacional ;R$ 5.050,00;0;54;EXCELENTE;28;19;0,02;
0;0;24/05/1971;M;2/19/01;65;Coordenação;R$ 20.591,67;1;60;OTIMO;25;17;0,13;
0;0;21/01/1969;M;04/01/2001;50;Operacional ;R$ 3.963,33;0;10;OTIMO;19;13;0,15;
0;0;19/03/1957;M;04/02/2001;27;Operacional ;R$ 4.805,00;0;61;BOM;4;2;0,08;
0;0;21/10/1968;M;5/14/01;66;Administrativo;R$ 15.320,00;1;62;BOM;1;0;0,16;
0;0;27/08/1961;M;01/12/1982;67;Administrativo;R$ 15.890,00;1;63;BOM;27;18;0,25;
0;0;20/03/1970;M;3/29/93;68;Operacional ;R$ 5.056,67;0;64;OTIMO;2;1;0,09;
0;0;14/09/1974;M;1/14/85;50;Operacional ;R$ 4.298,33;0;65;BOM;28;19;0,15;
0;0;15/07/1954;M;1/21/85;69;Operacional ;R$ 5.538,33;0;66;INSATISFATORIO;31;21;0,12;
0;0;30/11/1957;M;7/14/86;70;Administrativo;R$ 14.643,33;0;67;OTIMO;9;6;0,1;
0;0;18/12/1973;M;5/27/86;71;Administrativo;R$ 16.323,33;1;68;BOM;19;13;0,19;
0;0;15/02/1967;M;11/27/86;69;Operacional ;R$ 5.538,33;0;69;BOM;17;11;0,12;
0;0;21/12/1969;M;03/05/1987;33;Operacional ;R$ 6.731,67;0;70;BOM;25;17;0,14;
0;0;30/12/1967;M;04/12/1988;72;Administrativo;R$ 19.693,33;1;71;BOM;17;11;0,19;
0;0;22/05/1966;M;6/25/90;73;Operacional ;R$ 3.046,67;0;72;BOM;21;14;0,22;
0;0;15/06/1968;M;7/16/90;69;Operacional ;R$ 4.828,33;0;69;BOM;0;0;0,12;
0;0;22/01/1962;M;3/13/91;50;Operacional ;R$ 5.060,00;0;73;BOM;27;18;0,15;
0;0;25/09/1957;M;09/09/1991;74;Gerência;R$ 34.166,67;1;74;OTIMO;6;4;0,02;
0;0;20/12/1963;M;2/24/92;75;Operacional ;R$ 6.731,67;0;75;BOM;4;2;0,13;
1;0;23/11/1971;F;4/20/92;76;Administrativo;R$ 5.996,67;0;76;BOM;23;15;0,02;
0;0;13/07/1967;M;04/05/1993;77;Operacional ;R$ 3.463,33;0;77;OTIMO;24;16;0,09;
0;0;15/04/1967;F;1/24/94;78;Coordenação;R$ 18.093,33;1;78;BOM;21;14;0,02;
0;0;18/08/1962;M;07/04/1994;79;Operacional ;R$ 3.836,67;0;64;BOM;5;3;0,24;
0;0;27/08/1976;M;08/03/1994;80;Operacional ;R$ 4.298,33;0;64;BOM;29;20;0,18;
0;0;26/03/1969;M;08/08/1994;81;Operacional ;R$ 5.313,33;0;79;INSATISFATORIO;28;19;0,17;
0;0;22/04/1965;M;10/10/1994;82;Operacional ;R$ 6.730,00;0;75;BOM;16;11;0,21;
0;0;28/06/1971;M;01/09/1995;83;Coordenação;R$ 33.645,00;1;80;BOM;7;4;0,2;
0;0;18/08/1964;M;03/04/1996;84;Operacional ;R$ 5.056,67;0;81;BOM;14;9;0,14;
0;0;31/03/1966;M;3/25/96;85;Operacional ;R$ 5.060,00;0;64;OTIMO;17;11;0,23;
0;0;15/12/1968;M;4/29/96;32;Operacional ;R$ 3.983,33;0;77;BOM;0;0;0,06;
0;0;24/05/1964;M;07/01/1996;33;Operacional ;R$ 6.731,67;0;82;OTIMO;16;11;0,14;
0;0;31/01/1964;M;3/17/97;86;Administrativo;R$ 6.830,00;0;83;OTIMO;18;12;0,07;
0;0;13/07/1966;M;3/17/97;87;Operacional ;R$ 6.731,67;0;66;INSATISFATORIO;20;13;0,14;
0;0;15/04/1971;M;3/17/97;88;Administrativo;R$ 3.700,00;0;21;BOM;31;21;0,12;
0;0;13/12/1967;M;7/21/97;68;Operacional ;R$ 5.061,67;0;64;OTIMO;10;6;0,09;
0;0;31/03/1968;M;08/04/1997;81;Operacional ;R$ 5.775,00;0;82;OTIMO;13;9;0,17;
0;0;15/09/1960;M;1/19/98;89;Operacional ;R$ 6.985,00;0;84;BOM;6;4;0,03;
